File,identifier,isla,distancia LP-ACO,distancia LLM,media,ganador
195218f60d8440353bf5c79638dc7297,1746494622,0,15.063611182061518,18.087189596357327,16.57540038920942,Evaluador
195218f60d8440353bf5c79638dc7297,1746499826,2,15.063611182061518,18.44277916632104,16.753195174191276,Evaluador
195218f60d8440353bf5c79638dc7297,1746496504,2,15.063611182061518,18.07597872912937,16.569794955595444,Evaluador
195218f60d8440353bf5c79638dc7297,1746492541,2,15.063611182061518,16.31213549547629,15.687873338768904,Evaluador
199875ea5022e693a7a179335e697291,1746499826,2,15.609230901223928,19.945245649319062,17.777238275271493,Evaluador
199875ea5022e693a7a179335e697291,1746490919,0,15.609230901223928,20.081027520641197,17.845129210932562,Evaluador
199875ea5022e693a7a179335e697291,1746490919,0,15.609230901223928,20.081027520641197,17.845129210932562,Evaluador
199875ea5022e693a7a179335e697291,1746494622,0,15.609230901223928,19.53593947139658,17.572585186310256,Evaluador
199875ea5022e693a7a179335e697291,1746499826,2,15.609230901223928,19.37169677274519,17.49046383698456,Evaluador
199875ea5022e693a7a179335e697291,1746496504,2,15.609230901223928,20.48118192167139,18.04520641144766,Evaluador
199875ea5022e693a7a179335e697291,1746492541,2,15.609230901223928,20.687103161150787,18.148167031187356,Evaluador
1a3fce7ac0f4d69fe5b96f86876cfc9d,1746499826,2,16.35742570448144,19.44719681075832,17.90231125761988,Evaluador
1a3fce7ac0f4d69fe5b96f86876cfc9d,1746490919,0,16.35742570448144,18.55114680646108,17.45428625547126,Evaluador
1a3fce7ac0f4d69fe5b96f86876cfc9d,1746490919,0,16.35742570448144,18.55114680646108,17.45428625547126,Evaluador
1a3fce7ac0f4d69fe5b96f86876cfc9d,1746494622,0,16.35742570448144,19.282520762395016,17.819973233438226,Evaluador
1a3fce7ac0f4d69fe5b96f86876cfc9d,1746499826,2,16.35742570448144,19.665696936201385,18.011561320341414,Evaluador
1a3fce7ac0f4d69fe5b96f86876cfc9d,1746496504,2,16.35742570448144,19.07442616258096,17.7159259335312,Evaluador
1a3fce7ac0f4d69fe5b96f86876cfc9d,1746492541,2,16.35742570448144,18.202018716367117,17.27972221042428,Evaluador
